PRODUCT,PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,BUYER PAY INDEX (COMMODITY REFERENCE PRICE),CFTC REPORTABLE LEVEL,PAIRED SWAP BASIS,POSITION TYPE INDICATOR,SECTION 20.2 COVERED FUTURES CONTRACT,SELLER PAY INDEX (COMMODITY REFERENCE PRICE)
Calendar Spread Option on Henry Penultimate 3-Month Calendar Spread Future,3268,HMT,HMT,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Henry Penultimate 3-Month Calendar Spread Future,3268,HMT,HMT,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Calendar Spread Option on Henry Penultimate 6-Month Calendar Spread Future,3711,HMX,HMX,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Henry Penultimate 6-Month Calendar Spread Future,3711,HMX,HMX,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Heating Oil 1st Line Future,39,HOF,UHO,HF,QH59,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Heating Oil Average Price Option,3979,HOF,UHO,HF,QH59,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Heating Oil Arb - Heating Oil 1st Line vs Gasoil 1st Line Future (in Bbls),274,HOG,HOG,HG,QH58,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Platts Refined Diff - NYH Heating Oil 2:30 PM ET Settlement vs. Platts 3:15 PM ET Futures Assessment,3561,HOK,HOK,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Platts Refined Diff - NYH Heating Oil 2:30 PM ET Settlement vs. Platts 3:15 PM ET 2nd Month Spread Futures Assessment,3838,HOL,HOL,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Heating Oil Arb - Heating Oil 1st Line vs Gasoil 1st Line Future (in MTs),2465,HOT,HOT,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Euro Currency Pairs Euro/Hungarian Forint Futures,798,HR,HR ,,,Currency,FOREX,ICUS,IFUS,,,,,,
HSC Basis Future,431,HXS,HXS,NZ,NA90,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Cross Currency Pairs Canadian Dollar/Japanese Yen Futures,782,HY,HY ,,,Currency,FOREX,ICUS,IFUS,,,,,,
ERCOT Houston Load Zone Day-Ahead Peak Daily Fixed Price Future,2622,HZA,HZA,,,Electricity,Pwr E DailyMini,ICEU,IFED,,,,,,
ERCOT Houston Load Zone Day-Ahead Peak Fixed Price Future,2606,HZB,HZB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ERCOT Houston Load Zone Day-Ahead Off-Peak Daily Fixed Price Future,2634,HZC,HZC,,,Electricity,Pwr E OPDayMini,ICEU,IFED,,,,,,
ERCOT Houston Load Zone Day-Ahead Off-Peak Fixed Price Future,2614,HZD,HZD,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Brent 1st Line Future,10,I,BRN,BS,P997,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Brent Average Price Option,10,I,BRN,BS,P997,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Millions FX Australian Dollar / U.S. Dollar Futures,1422,IAU,IAU,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
"Normal Butane, OPIS Conway In-Well, Fixed Price Future",3266,IBC,IBC,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
US Soybean Oil Futures,4004,IBO,IBO,Y\,,Grains - U.S.,Soybean Oil,ICUS,IFUS,,,,,,
US Soybean Oil Futures TAS,4036,IBO,IBO,Y\,,Grains - U.S.,Soybean Oil,ICUS,IFUS,,,,,,
US Soybean Oil Options,4009,IBO,IBO,Y\,,Grains - U.S.,Soybean Oil,ICUS,IFUS,,,,,,
US Corn Futures,3999,ICN,ICN,Y),,Grains - U.S.,Corn,ICUS,IFUS,,,,,,
US Corn Futures TAS,4024,ICN,ICN,Y),,Grains - U.S.,Corn,ICUS,IFUS,,,,,,
US Corn Options,4006,ICN,ICN,Y),,Grains - U.S.,Corn,ICUS,IFUS,,,,,,
ISO New England Connecticut Day-Ahead Off-Peak Fixed Price Future,2854,ICO,ICO,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
ISO New England Connecticut Day-Ahead Peak Fixed Price Future,2851,ICP,ICP,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
MISO Indiana Hub Real-Time Peak Daily Look Back Fixed Price Future ,3966,IDO,IDP,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Option on MISO Indiana Hub Real-Time Peak Daily Look Back Fixed Price Future,3966,IDO,IDP,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
MISO Indiana Hub Real-Time Peak Daily Fixed Price Future,411,IDP,IDP,IP,L780,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
ISO New England Maine Day-Ahead Peak Fixed Price Future,3255,IEB,IEB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England Maine Day-Ahead Off-Peak Fixed Price Future,3258,IED,IED,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Millions FX Euro / Japanese Yen Futures,1430,IEJ,IEJ,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
Millions FX Euro / U.S. Dollar Futures,1434,IEO,IEO,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
Millions FX Euro / Canadian Dollar Futures,1424,IEP,IEP,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
Millions FX Euro / British Pound Futures,1428,IGB,IGB,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
ISO New England New Hampshire Day-Ahead Peak Fixed Price Future,3256,IHB,IHB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England New Hampshire Day-Ahead Off-Peak Fixed Price Future,3259,IHD,IHD,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Millions FX U.S. Dollar / Swedish Krona Futures,1444,IKX,IKX,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
ISO New England SE Massachusetts Day-Ahead Peak Fixed Price Future,3063,IMB,IMB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England SE Massachusetts Day-Ahead Off-Peak Fixed Price Future,3067,IMD,IMD,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Millions FX U.S. Dollar / Swiss Franc Futures,1440,IMF,IMF,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
Millions FX British Pound / U.S. Dollar Futures,1436,IMP,IMP,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
ISO New England NE Massachusetts Day-Ahead Peak Fixed Price Future,3062,INB,INB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England NE Massachusetts Day-Ahead Off-Peak Fixed Price Future,3066,IND,IND,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
"IRON ORE 62% FE (TSI), CFR TIANJIN FUTURE",4350,IOC,IOC,,,Iron Ore,Coking Coal DMT,ICEU,IFEU,,,,,,
MISO Indiana Hub Real-Time Off-Peak Daily Fixed Price Future,554,IOP,IOP,QD,NO12,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
IRON ORE 62% FE (PLATTS IODEX) FUTURE,2954,IOR,IOR,,,Iron Ore,Coking Coal DMT,ICEU,IFEU,,,,,,
IRON ORE 62% FE PLATTS IODEX VS TSI CFR TIANJIN FUTURE,4351,IOS,IOS,,,Iron Ore,Coking Coal DMT,ICEU,IFEU,,,,,,
Millions FX Euro / Swedish Krona Futures,1432,IRK,IRK,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
Millions FX Euro / Swiss Franc Futures,1426,IRZ,IRZ,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
US Soybean Futures,4002,IS,IS,Y/,,Grains - U.S.,Soybean,ICUS,IFUS,,,,,,
US Soybean Futures TAS,4030,IS,IS,Y/,,Grains - U.S.,Soybean,ICUS,IFUS,,,,,,
US Soybean Options,4008,IS,IS,Y/,,Grains - U.S.,Soybean,ICUS,IFUS,,,,,,
"Iso Butane, OPIS Conway In-Well, Fixed Price Future",4084,ISC,ISC,Y) ,1278,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Iso Butane, OPIS Mt. Belvieu TET, Fixed Price Future",4089,ISL,ISL,Y/,1280,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
US Soybean Meal Futures,4003,ISM,ISM,Y>,,Grains - U.S.,Soybean Meal,ICUS,IFUS,,,,,,
US Soybean Meal Futures TAS,4033,ISM,ISM,Y>,,Grains - U.S.,Soybean Meal,ICUS,IFUS,,,,,,
US Soybean Meal Options,4010,ISM,ISM,Y>,,Grains - U.S.,Soybean Meal,ICUS,IFUS,,,,,,
Millions FX U.S. Dollar / Japanese Yen Futures,1442,ISN,ISN,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
"Iso Butane, OPIS Mt. Belvieu Non-TET, Fixed Price Future",1634,ISO,ISO,ZE,QM95,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
Millions FX U.S. Dollar / Canadian Dollar Futures,1438,ISV,ISV,,,Currency,FOREX Millions,ICUS,IFUS,,,,,,
US Wheat Futures,4005,IW,IW,Y-,,Grains - U.S.,US Wheat,ICUS,IFUS,,,,,,
US Wheat Futures TAS,4027,IW,IW,Y-,,Grains - U.S.,US Wheat,ICUS,IFUS,,,,,,
US Wheat Options,4007,IW,IW,Y-,,Grains - U.S.,US Wheat,ICUS,IFUS,,,,,,
ISO New England West Central Massachusetts Day-Ahead Peak Fixed Price Future,3257,IWB,IWB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England West Central Massachusetts Day-Ahead Off-Peak Fixed Price Future,3260,IWD,IWD,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
PJM JCPL Zone Day-Ahead Peak Daily Fixed Price Future,2147,JCA,JCA,G0,,Electricity,Pwr E DailyMini,ICEU,IFED,,,,,,
PJM JCPL Zone Day-Ahead Peak Fixed Price Future,2148,JCB,JCB,G1,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
PJM JCPL Zone Day-Ahead Off-Peak Daily Fixed Price Future,2149,JCC,JCC,G2,,Electricity,Pwr E OPDayMini,ICEU,IFED,,,,,,
PJM JCPL Zone Day-Ahead Off-Peak Fixed Price Future,2150,JCD,JCD,G3,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Gulf Coast Jet Fuel Future,3073,JCF,JCF,,,Crude Oil and Refined Products,RefOutright gal,ICEU,IFEU,,,,,,
Jet CIF NWE Cargoes Future,2466,JCN,JCN,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
NYISO Zone J Day-Ahead Peak Daily Fixed Price Future,550,JDP,JDP,PY,NO08,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Jet Fuel Diff - Jet CIF NWE Cargoes vs Gasoil 1st Line Future,43,JET,JET,OY,NM82,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Jet Fuel Diff - Gulf Coast Jet Fuel vs Heating Oil 1st Line Future,3254,JHO,JHO,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
JKM LNG FUTURE,4172,JKM,JKM,,,Liquified Natural Gas,LNG JKM,ICEU,IFEU,,,,,,
Jet Fuel Crack - Jet CIF NWE Cargoes vs Brent 1st Line Future,4177,JNB,JNB,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Naphtha Diff - Naphtha C+F Japan vs Naphtha CIF NWE Cargoes Future,1887,JOE,JOE,BE,SN20,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Jet Fuel Diff - Jet FOB Rotterdam Barges vs Gasoil 1st Line Future,1752,JRG,JRG,RG,SF38,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Jet Fuel Diff - Jet FOB Rotterdam Barges vs Jet CIF NWE Cargoes Future,1753,JRJ,JRJ,RJ,SF39,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Dollar Based Currency Pairs Aus. Dollar/US Dollar,3125,KAU,KAU,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Brazilian Real/US Dollar,4309,KBX,KBX,,,Currency,FOREX,ICUS,IFUS,,,,,,
Coffee C &#174; Futures,580,KC,KC ,43,2065,Coffee,Coffee C,ICUS,IFUS,,,,,,
Coffee C &reg; Futures TAS,1202,KC,KC ,43,2065,Coffee,Coffee C,ICUS,IFUS,,,,,,
Coffee C &reg; Options,1235,KC,KC ,43,2065,Coffee,Coffee C,ICUS,IFUS,,,,,,
Coffee C Calendar Spread Options,4137,KC,KC,,,Coffee,Coffee C,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Colombian peso/US dollar,786,KCU,KCU,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Japanese Yen Futures,3133,KEJ,KEJ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Euro/US Dollar,3141,KEO,KEO,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Canadian Dollar Futures,3131,KEP,KEP,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/British Pound Futures,3129,KGB,KGB,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Indian Rupee/US Dollar,4308,KIU,KIU,,,Currency,FOREX,ICUS,IFUS,,,,,,
Cross Currency Pairs Swedish Krona/Japanese Yen Futures,839,KJ,KJ ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Swiss Franc/US Dollar,3464,KMF,KMF,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Mexican peso/US dollar,3462,KMP,KMP,,,Currency,FOREX,ICUS,IFUS,,,,,,
"Weekly Coffee C"" Options""",3731,KO,KO,,,Coffee,Coffee C,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Norwegian Krone Futures,3135,KOL,KOL,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Australian Dollar Futures (125),3127,KRA,KRA,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Swedish Krona Futures,3137,KRK,KRK,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Russian Ruble/US Dollar,3567,KRU,KRU,,,Currency,FOREX,ICUS,IFUS,,,,,,
Euro Currency Pairs Euro/Swiss Franc Futures,3139,KRZ,KRZ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs Japanese Yen/US Dollar,3458,KSN,KSN,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency pairs Canadian Dollar/US Dollar,3460,KSV,KSV,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs US Dollar/Swedish Krona,869,KX,KX ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Cross Currency Pairs Norwegian Krone/Japanese Yen Futures,831,KY,KY ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Dollar Based Currency Pairs New Zealand Dollar/US Dollar Futures,3456,KZX,KZX,,,Currency,FOREX,ICUS,IFUS,,,,,,
Cross Currency Pairs Swiss Franc/Japanese Yen Futures,3143,KZY,KZY,,,Currency,FOREX,ICUS,IFUS,,,,,,
"Propane, OPIS Mt. Belvieu Non-TET, Fixed Price Balmo Future",2098,LAA-LAZ; LBA-LBE,PRO,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
Lebanon Swing Future,2591,LBN,LBN,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
"Propane, OPIS Mt. Belvieu TET, Fixed Price Balmo Future",2099,LCA-LCZ; LDA-LDE,PRM,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Normal Butane, OPIS Mt. Belvieu Non-TET, Fixed Price Balmo Future",2100,LEA-LEZ; LFA-LFE,NBJ,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Natural Gasoline, OPIS Mt. Belvieu Non-TET, Fixed Price Balmo Future",2525,LGA-LGZ; LHA-LHE,NGF,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Propane, OPIS Conway In-Well, Fixed Price Balmo Future",2526,LIA-LIZ; LJA-LJE,PRD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Natural Gasoline, OPIS Conway In-Well, Fixed Price Balmo Future",4085,LJF-LKJ,NGG,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Normal Butane, OPIS Conway In-Well, Fixed Price Balmo Future",4086,LKK-LLO,IBD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Propane, Argus Far East, Fixed Price Future (Balmo)",3701,LLP-LMT,AFF,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Propane, Argus CIF ARA, Fixed Price Balmo Future",3702,LMU-LNY,APD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Ethane in E/P Mix, OPIS Mt. Belvieu  Non-TET, Fixed Price Balmo Future",2525,LNZ-LPD,ECA,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Ethane in E/P Mix, OPIS Conway In-Well, Fixed Price Balmo Future",2525,LPE-LQI,ECD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Normal Butane, OPIS Mt. Belvieu TET, Fixed Price Balmo Future",4087,LRN-LSR,NBS,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Natural Gasoline, OPIS Mt. Belvieu TET, Fixed Price Balmo Future",2525,LSS-LTW,NGK,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Iso Butane, OPIS Mt. Belvieu Non-TET, Fixed Price Future (Balmo)",2525,LVC-LWG,ISP,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Iso Butane, OPIS Conway In-Well, Fixed Price Future (Balmo)",2525,LWH-LXL,ISD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
ICE UK Natural Gas Futures,236,M,GWM,WM,960,Natural Gas,IPE Nat Gas,ICEU,IFEU,,,,,,
ICE UK Natural Gas Futures TAS,1386,M,GWM,WM,960,Natural Gas,IPE Nat Gas,ICEU,IFEU,,,,,,
ICE UK Natural Gas Options,236,M,GWM,WM,960,Natural Gas,IPE Nat Gas,ICEU,IFEU,,,,,,
URALS NORTH VS DATED BRENT CFD BALMO FUTURE,4363,MAM-MBQ,CFV,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
MISO Indiana Hub Day-Ahead Peak Fixed Price Future,1860,MCC,MCC,AC,SM90,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
MISO Indiana Hub Day-Ahead Off-Peak Fixed Price Future,1861,MCD,MCD,AD,SM91,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
MISO Indiana Hub Real-Time Peak Mini Fixed Price Future,2163,MCG,MCG,H6,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
Option on MISO Indiana Hub Real-Time Peak Mini Fixed Price Future,2163,MCG,MCG,H6,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
NGPL Midcont Index Future,2858,MCI,MCI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
NGPL Midcont Basis Future,445,MCO,MCO,OE,NG66,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Massachusetts Compliance Renewable Energy Certificates Class 1 Future,3405,MCR,MCR,,,Physical Environmental,REC-MA C1,ICEU,IFED,,,,,,
MISO Indiana Hub Day-Ahead Peak Daily Fixed Price Future,1613,MDA,MDA,YB,QM59,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Mid-Columbia Day-Ahead Peak Fixed Price Future,318,MDC,MDC,MC,N712,Electricity,Pwr West Term,ICEU,IFED,,,,,,
Option on Mid-Columbia Day-Ahead Peak Fixed Price Future,318,MDC,MDC,MC,N712,Electricity,Pwr West Term,ICEU,IFED,,,,,,
Mid-Columbia Day-Ahead Peak Mini Fixed Price Future,2096,MDF,MDF,P5,SR07,Electricity,Pwr West Mini,ICEU,IFED,,,,,,
Option on Mid-Columbia Day-Ahead Peak Mini Fixed Price Future,2096,MDF,MDF,P5,SR07,Electricity,Pwr West Mini,ICEU,IFED,,,,,,
ICE ASCI Differential Futures,2048,MEC,MEC,BB,TS85,Crude Oil and Refined Products,ICE WTI,ICEU,IFEU,,,,,,
URALS MED VS DATED BRENT CFD BALMO FUTURE,4364,MED-MFH,UCG,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
ICE Middle East Sour Crude Futures,601,MID,MID,,OM09,Crude Oil and Refined Products,ICE MEC,ICEU,IFEU,,,,,,
ICE Middle East Sour Crude Futures Minute Marker,602,MID,MID,,OM09,Crude Oil and Refined Products,ICE MEC,ICEU,IFEU,,,,,,
ICE Middle East Sour Crude Futures TAS,603,MID,MID,,OM09,Crude Oil and Refined Products,ICE MEC,ICEU,IFEU,,,,,,
Malin Index Future,508,MIS,MIS,Y6,L336,Natural Gas,Index Master,ICEU,IFED,,,,,,
MISO Illinois Hub Day-Ahead Peak Fixed Price Future,2851,MLB,MLB,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
MISO Illinois Hub Day-Ahead Off-Peak Fixed Price Future,2854,MLD,MLD,,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Malin Basis Future,453,MLN,MLN,NM,NA85,Natural Gas,Basis Master,ICEU,IFED,,,,,,
MISO Indiana Hub Day-Ahead Off-Peak Daily Fixed Price Future,1617,MOD,MOD,YF,QM63,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
Dollar Based Currency Pairs British Pound/US Dollar Futures,845,MP,MP ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Mid-Columbia Day-Ahead Peak Daily Fixed Price Future,749,MPD,MPD,MP,OU51,Electricity,Pwr West Daily,ICEU,IFED,,,,,,
Option on Mid-Columbia Day-Ahead Peak Daily Fixed Price Future,749,MPD,MPD,MP,OU51,Electricity,Pwr West Daily,ICEU,IFED,,,,,,
Option on PJM AEP Dayton Hub Real-Time Peak Fixed Price Future,3549,MSO,MSO,MS,L062,Electricity,Pwr East Term,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Peak Fixed Price Future,3549,MSO,MSO,MS,L062,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Malin Swing Future,467,MSS,MSS,YT,QM77,Natural Gas,Swing Master,ICEU,IFED,,,,,,
TETCO M3 Index Future,1883,MTI,MTI,A1,SN13,Natural Gas,Index Master,ICEU,IFED,,,,,,
NGPL Midcont Swing Future,2859,MTS,MTS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Mid-Columbia Day-Ahead Off-Peak Daily Fixed Price Future,747,MXO,MXO,MX,OU50,Electricity,Pwr WestOPDaily,ICEU,IFED,,,,,,
ICE NYH (RBOB) Gasoline Futures,495,N,UHU,ON,NF70,Crude Oil and Refined Products,ICE RBOBGas,ICEU,IFEU,,,,,,
ICE NYH (RBOB) Gasoline Futures TAS,497,N,UHU,ON,NF70,Crude Oil and Refined Products,ICE RBOBGas,ICEU,IFEU,,,,,,
ICE NYH (RBOB) Gasoline/Heating Oil Futures Spread,3235,N,UHU,ON,NF70,Crude Oil and Refined Products,RBOB/HO Spr,ICEU,IFEU,,,,,,
ICE NYH (RBOB) Gasoline/WTI Futures Crack,499,N,UHU,ON,NF70,Crude Oil and Refined Products,ICE RBOBGas Crk,ICEU,IFEU,,,,,,
NYH (RBOB) Gasoline/Gas Oil Futures Spread,3448,N,UHU,ON,NF70,Crude Oil and Refined Products,RBOB/GO Spr,ICEU,IFEU,,,,,,
NYH (RBOB) Gasoline/Low Sulphur Gas Oil Futures Spread,3449,N,UHU,ON,NF70,Crude Oil and Refined Products,RBOB/LS GO Spr,ICEU,IFEU,,,,,,
RBOB Gasoline American-Style Option,495,N,UHU,ON,NF70,Crude Oil and Refined Products,ICE RBOBGas,ICEU,IFEU,,,,,,
Cross State Air Pollution Rule TR NOx Annual Allowance Future,3423,NAK,NAK,,,Physical Environmental,CS Nox AN,ICEU,IFED,,,,,,
Option on Cross State Air Pollution Rule TR NOx Annual Allowance Future,3423,NAK,NAK,,,Physical Environmental,CS Nox AN,ICEU,IFUS,,,,,,
NYISO Zone A Day-Ahead Peak Fixed Price Future,289,NAY,NAY,NA,O937,Electricity,Pwr East Term,ICEU,IFED,,,,,,
"Average Price Option on Normal Butane, OPIS Mt. Belvieu Non-TET, Fixed Price Future",1633,NBI,NBI,ZD,QM94,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Normal Butane, OPIS Mt. Belvieu Non-TET, Fixed Price Future",1633,NBI,NBI,ZD,QM94,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Normal Butane, OPIS Mt. Belvieu TET, Fixed Price Future",1636,NBR,NBR,ZG,QM97,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
gC Newcastle Coal (supporting Cal 1x Option),3543,NCC,NCF,INCC,,Coal,Coal Newc,ICEU,IFEU,,,,,,
gC Newcastle Coal Cal 1x Option,3543,NCC,NCF,INCC,,Coal,Coal Newc,ICEU,IFEU,,,,,,
gC Newcastle Coal Futures,1459,NCF,NCF,N1,QG65,Coal,Coal Newc,ICEU,IFEU,,,,,,
gC Newcastle Coal Options,1459,NCF,NCF,N1,QG65,Coal,Coal Newc,ICEU,IFEU,,,,,,
gC Newcastle Coal (supporting Qtr 1x Option),3544,NCQ,NCF,INCQ,,Coal,Coal Newc,ICEU,IFEU,,,,,,
gC Newcastle Coal Qtr 1x Option,3544,NCQ,NCF,INCQ,,Coal,Coal Newc,ICEU,IFEU,,,,,,
ERCOT North 345KV Hub Day-Ahead Peak Daily Fixed Price Future,2627,NDA,NDA,,,Electricity,Pwr E DailyMini,ICEU,IFED,,,,,,
ERCOT North 345KV Hub Day-Ahead Off-Peak Daily Fixed Price Future,2639,NDC,NDC,,,Electricity,Pwr E OPDayMini,ICEU,IFED,,,,,,
PJM NI Hub Real-Time Off-Peak Daily Fixed Price Future,1616,NDO,NDO,YE,QM62,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
PJM NI Hub Real-Time Peak Daily Fixed Price Future,412,NDP,NDP,ND,L779,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
ERCOT North 345KV Real-Time Off-Peak Fixed Price Future,1863,NEB,NEB,AF,SM93,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
Naphtha CIF NWE Cargoes Future,1884,NEC,NEC,A7,SN17,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
ERCOT North 345KV Real-Time Off-Peak Daily Fixed Price Future,1869,NED,NED,AJ,SM97,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
ISO New England Massachusetts Hub Day-Ahead Peak Mini Fixed Price Future,3967,NEM,NEM,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England Massachusetts Hub Day-Ahead Peak Fixed Price Future,317,NEP,NEP,NE,N710,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Option on ISO New England Massachusetts Hub Day-Ahead Peak Fixed Price Future,317,NEP,NEP,NE,N710,Electricity,Pwr East Term,ICEU,IFED,,,,,,
